Time (Sec);S1;S7;S49;S47;S25;S41;S46;S48;S24;S2;S51;S33;S34;S50;S35;S17;S26;S43;S18;S20;S11;S42;
0.0;19159.9999;19160.0;19160.0;19160.0;19159.9999;19159.9999;19160.0;19160.0;19159.9999;19159.9999;19160.0;19159.9999;19159.9999;19160.0;19160.0;19160.0;19160.0;19160.0;19159.9999;19159.9999;19160.0;19159.9999;
60.0;19159.9730784;19159.9917632;19160.0;19160.0;19159.971183999995;19159.978287999995;19159.86958399998;19160.0;19159.971183999995;19159.9730784;19160.0;19159.978287999995;19159.985591999997;19160.0;19159.9958816;19159.9917632;19159.9917632;19159.9958816;19159.971183999995;19159.971183999995;19159.546991999952;19159.985591999997;
120.00000000000009;19159.952887199997;19159.9835264;19160.0;19160.0;19159.927959999986;19159.963879999992;19159.74076959996;19160.0;19159.92559199998;19159.93032799999;19160.0;19159.96340639999;19159.978387999996;19160.0;19159.9917632;19159.9855856;19159.979408;19159.9917632;19159.94957199999;19159.94957199999;19159.09418079991;19159.978387999996;
180.00967333333324;19159.925491999995;19159.9732304;19160.0;19160.0;19159.884735999978;19159.913551999984;19159.532103999936;19160.0;19159.82578319995;19159.889471999988;19160.0;19159.91260479998;19159.963506399992;19160.0;19159.9855856;19159.9732304;19159.9608752;19159.9855856;19159.896302399975;19159.89914399998;19158.360158399835;19159.963979999993;
240.00967333333264;19159.90387999999;19159.9629344;19160.0;19160.0;19159.863123999974;19159.884735999978;19159.26074719991;19160.0;19159.734125599924;19159.831839999977;19160.0;19159.869380799973;19159.909763199976;19160.0;19159.9711712;19159.948519999998;19159.946460799998;19159.979408;19159.804171199947;19159.812695999964;19157.41673919977;19159.95677599999;
300.00967333333205;19159.882267999987;19159.948519999998;19160.0;19160.0;19159.84151199997;19159.870327999975;19159.05047999989;19160.0;19159.705309599918;19159.74539199996;19160.0;19159.84776879997;19159.86369759996;19160.0;19159.9608752;19159.932046399997;19159.938223999998;19159.9752896;19159.71203999992;19159.78387999996;19156.68100319972;19159.94909839999;
360.00967333333085;19159.817431999974;19159.925868799997;19160.0;19160.0;19159.819899999966;19159.855919999973;19158.799257599865;19160.0;19159.636211199897;19159.658943999944;19160.0;19159.833360799967;19159.817631999947;19160.0;19159.9526384;19159.911454399997;19159.925868799997;19159.9732304;19159.61990879989;19159.719043999947;19155.805860799657;19159.941894399988;
420.0085839999961;19159.78861599997;19159.909395199997;19160.0;19160.0;19159.762267999955;19159.83430799997;19158.512342399838;19160.0;19159.54407999987;19159.57296959993;19160.0;19159.80454479996;19159.771566399933;19160.0;19159.944401599998;19159.886743999996;19159.907335999997;19159.969112;19159.528251199863;19159.63259599993;19154.805382399587;19159.934216799986;
480.00967333332846;19159.723779999957;19159.894980799996;19160.0;19160.0;19159.67581999994;19159.812695999964;19158.260204799808;19160.0;19159.45194879984;19159.546047999927;19160.0;19159.761320799953;19159.72597439992;19160.0;19159.932046399997;19159.876447999995;19159.882625599996;19159.9649936;19159.499435199858;19159.603779999925;19153.927659199515;19159.927012799984;
540.0107626666618;19159.63780559994;19159.880566399996;19160.0;19160.0;19159.589371999922;19159.78387999996;19158.03254879978;19160.0;19159.359817599812;19159.525856799926;19160.0;19159.718096799945;19159.711566399918;19160.0;19159.921750399997;19159.870270399995;19159.857915199995;19159.9608752;19159.477823199853;19159.58216799992;19153.131473599457;19159.919335199982;
600.0096733333291;19159.61088399994;19159.872329599995;19160.0;19160.0;19159.502923999906;19159.74065599995;19157.836924799754;19160.0;19159.268159999785;19159.505665599925;19160.0;19159.69648479994;19159.704362399916;19160.0;19159.917631999997;19159.864092799995;19159.833204799994;19159.9526384;19159.45621119985;19159.560555999917;19152.443809599386;19159.91165759998;
660.0096733333279;19159.589271999936;19159.866151999995;19160.0;19160.0;19159.41647599989;19159.697431999943;19157.64564799973;19160.0;19159.23934399978;19159.485474399924;19160.0;19159.682076799938;19159.697158399915;19160.0;19159.913513599997;19159.851737599995;19159.814671999993;19159.940283199998;19159.434599199845;19159.495719999904;19151.768203199335;19159.865591999966;
720.0096733333271;19159.524435999923;19159.849678399994;19160.0;19160.0;19159.330027999873;19159.654207999934;19157.3939679997;19160.0;19159.17024559976;19159.42063839991;19160.0;19159.667668799935;19159.689954399913;19160.0;19159.911454399997;19159.837323199994;19159.794079999992;19159.929987199997;19159.41298719984;19159.409271999888;19150.896375999284;19159.84255919996;
780.009673333327;19159.495619999918;19159.831145599994;19160.0;19160.0;19159.243579999857;19159.610983999926;19157.14022879967;19160.0;19159.07811439973;19159.334190399895;19160.0;19159.653260799932;19159.682750399912;19160.0;19159.907335999997;19159.822908799993;19159.76936959999;19159.923809599997;19159.34436239982;19159.380455999883;19150.006041599223;19159.834881599956;
840.0096733333256;19159.430783999906;19159.796139199992;19159.85474719996;19159.992305599997;19159.21476399985;19159.567759999918;19157.003635199668;19159.944478399986;19158.985983199702;19159.24774239988;19159.902153599975;19159.63885279993;19159.67507279991;19159.96922239999;19159.903217599996;19159.810553599993;19159.74259999999;19159.909395199997;19159.315546399816;19159.35884399988;19149.554092799197;19159.813269599952;
900.0096733333244;19159.4019679999;19159.76113279999;19159.67279359991;19159.893612799973;19159.193151999847;19159.52453599991;19156.92492799968;19159.856289599968;19158.949963199695;19159.161294399863;19159.80710079995;19159.610036799924;19159.629007199896;19159.88275359996;19159.886743999996;19159.787902399992;19159.72406719999;19159.894980799996;19159.29393439981;19159.289745599857;19149.32024639918;19159.80559199995;
960.0096733333236;19159.337131999888;19159.71994879999;19159.459231999856;19159.771251199945;19159.171539999843;19159.4813119999;19156.836153599696;19159.74717279994;19158.888542399676;19159.074846399846;19159.702033599922;19159.58842479992;19159.58294159988;19159.813275199933;19159.866151999995;19159.76936959999;19159.70347519999;19159.876447999995;19159.272322399807;19159.25372559985;19149.056409599172;19159.77488159994;
1020.009673333323;19159.30111199988;19159.69523839999;19159.338796799824;19159.669615999923;19159.14992799984;19159.452495999896;19156.762479999707;19159.636623999915;19158.85252239967;19159.041194399844;19159.606980799897;19159.574016799917;19159.536875999867;19159.69259679989;19159.849678399994;19159.73848159999;19159.68494239999;19159.857915199995;19159.203223999786;19159.19609359984;19148.837558399162;19159.751848799933;
1080.0096733333214;19159.24347999987;19159.674646399988;19159.237438399796;19159.575302399902;19159.085091999827;19159.430883999892;19156.707339199715;19159.604787199907;19158.830910399665;19159.021003199843;19159.488243199867;19159.559608799915;19159.490810399853;19159.553868799838;19159.833204799994;19159.70141599999;19159.662291199988;19159.851737599995;19159.16720399978;19159.109645599823;19148.673771199148;19159.74417119993;
1140.0107626666536;19159.207459999863;19159.656113599987;19159.14377439977;19159.46110879988;19159.04907199982;19159.402067999887;19156.633436799726;19159.48739039988;19158.80929839966;19159.000811999842;19159.39341919984;19159.53079279991;19159.44474479984;19159.455671999804;19159.814671999993;19159.674646399988;19159.643758399987;19159.833204799994;19159.10578319976;19159.073625599816;19148.454217599134;19159.70578319992;
